LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
34.0938,78.512,35,5.1,2/10/1968,03:05.3
34.1038,78.6915,11.1,5.1,2/11/1968,38:26.7
37.1389,71.883,142.3,5.1,5/8/1968,45:08.0
29.6164,80.5117,19,5.1,5/27/1968,35:57.9
29.9754,79.8605,16,5.1,5/31/1968,01:35.7
29.9376,79.8801,19.6,5.1,3/3/1969,20:22.1
27.497,89.981,35,5.1,11/5/1969,25:18.4
35.6043,74.1932,16.3,5.1,12/21/1971,54:42.9
34.9894,72.967,24,5.1,12/27/1971,59:37.9
35.8681,73.3574,27.6,5.1,9/4/1972,37:52.1
32.4127,78.4001,11.2,5.1,9/6/1972,51:29.0
33.934,72.7324,24.5,5.1,9/27/1972,03:38.9
36.0934,73.6455,10,5.1,9/27/1972,18:06.7
35.9786,73.6704,10,5.1,11/7/1972,12:21.1
33.2808,75.7823,26,5.1,1/16/1973,31:25.8
28.3748,82.8828,25.4,5.1,10/16/1973,50:44.2
35.9708,73.3854,29.1,5.1,12/9/1973,36:53.6
37.3897,72.368,10,5.1,7/5/1974,17:50.0
32.2332,78.6666,12,5.1,1/19/1975,00:19.2
28.0927,84.6786,46.2,5.1,1/31/1975,38:55.7
32.0127,78.8279,35,5.1,11/5/1975,35:59.8
28.0615,87.6792,71,5.1,11/26/1975,02:36.0
32.9437,76.155,28,5.1,12/11/1975,09:49.7
32.6832,78.6638,13,5.1,3/27/1977,36:48.4
35.0355,72.9698,24,5.1,4/27/1978,12:23.4
30.6741,78.4312,28,5.1,12/28/1979,59:19.8
35.1279,76.9911,19.5,5.1,10/8/1980,57:02.4
29.9716,80.5915,31.8,5.1,3/6/1981,58:51.1
31.8466,78.4741,21.7,5.1,6/13/1981,56:57.1
35.6089,73.6158,32.6,5.1,9/18/1981,05:00.2
34.5753,79.5949,12.3,5.1,5/31/1983,05:42.4
37.0729,71.8021,151.7,5.1,1/1/1984,53:47.0
29.8707,80.5653,19.8,5.1,2/19/1984,46:27.1
34.1559,79.4775,14.3,5.1,3/14/1984,32:32.8
31.3885,73.1404,14.3,5.1,5/22/1985,57:51.0
26.9209,92.6963,54.7,5.1,3/8/1989,02:08.0
27.4313,87.8377,20,5.1,5/22/1989,24:35.0
36.853,73.1363,15.3,5.1,3/6/1990,07:05.5
29.9078,79.9451,16,5.1,9/21/1990,08:20.1
28.1278,87.9235,31.4,5.1,4/4/1992,43:21.3
29.0536,87.4065,12.5,5.1,3/31/1993,44:10.5
27.823,87.7573,17.6,5.1,4/26/1996,30:58.2
28.3953,92.3229,78.3,5.1,6/9/1996,25:19.3
27.5149,87.2609,26,5.1,11/27/1997,11:57.0
30.2837,79.2959,22.2,5.1,4/6/1999,37:27.2
28.4503,86.7696,82.6,5.1,8/1/1999,24:52.5
27.6002,92.6632,13.4,5.1,1/2/2000,23:58.0
32.8932,73.1233,47.7,5.1,7/16/2001,07:19.0
37.1998,72.1944,171.2,5.1,7/24/2001,40:24.2
33.2701,75.8619,26,5.1,9/28/2001,37:57.1
29.3756,81.7425,36.6,5.1,11/27/2001,56:57.2
27.2544,88.2927,20.3,5.1,12/2/2001,41:14.3
37.4838,71.8891,103.5,5.1,2/23/2004,38:40.9
34.6898,73.3035,11.6,5.1,10/8/2005,01:55.7
34.5555,73.3706,13.5,5.1,10/8/2005,28:42.1
34.7046,73.1643,16.9,5.1,10/8/2005,33:34.9
34.0026,73.9465,19.5,5.1,10/15/2005,24:07.4
34.6994,73.1562,27.3,5.1,10/18/2005,20:08.7
28.4667,84.8935,6.9,5.1,10/31/2005,47:55.3
30.2643,80.3329,11.9,5.1,9/4/2008,53:11.1
34.9163,73.2507,30,5.1,7/27/2009,23:49.2
29.8773,80.466,17.3,5.1,6/22/2010,14:10.8
33.8517,72.9153,31.2,5.1,10/10/2010,44:25.6
30.9444,78.2981,24.8,5.1,2/9/2012,17:32.9
26.8419,92.8456,39.5,5.1,10/2/2012,37:38.8
